                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0666,                  3.568,                 1.3444,                0.36134,                0.29016,                0.29695,                0.22325,                      0,                    inf,                      0,                 0.0982,                 0.0002,                 0.0002
                      1,                 1.1515,                 3.5776,                 1.3566,                 0.3602,                0.28415,                0.29718,                0.22354,                      0,                    inf,                      0,               0.095495,             0.00049505,             0.00049505
                      2,                 1.0914,                 3.3315,                 1.3846,                0.37426,                0.28587,                0.31347,                0.23713,                      0,                    inf,                      0,               0.092784,             0.00078416,             0.00078416
                      3,                 1.0352,                 2.7619,                 1.3672,                0.40244,                0.28373,                0.35021,                 0.2664,                      0,                    inf,                      0,               0.090067,              0.0010673,              0.0010673
                      4,                0.93716,                 2.2167,                 1.3191,                0.46129,                0.50602,                0.47195,                0.35268,                      0,                    inf,                      0,               0.087345,              0.0013446,              0.0013446
                      5,                0.94793,                  1.783,                 1.3881,                0.59826,                0.57235,                0.52969,                0.38908,                      0,                    inf,                      0,               0.084616,              0.0016158,              0.0016158
                      6,                0.90128,                 1.3956,                 1.3126,                0.66675,                0.55433,                0.56418,                0.41337,                      0,                    inf,                      0,               0.081881,              0.0018812,              0.0018812
                      7,                0.88819,                 1.5353,                 1.3812,                0.62825,                0.57589,                0.59383,                0.42991,                      0,                    inf,                      0,               0.079141,              0.0021406,              0.0021406
                      8,                0.80797,                 1.2637,                 1.2417,                0.71775,                0.58405,                0.63497,                0.46789,                      0,                    inf,                      0,               0.076394,              0.0023941,              0.0023941
                      9,                0.69736,                 1.1364,                 1.1321,                0.77141,                0.65532,                0.68832,                0.51706,                      0,                    inf,                      0,               0.073642,              0.0026416,              0.0026416
                     10,                  0.697,                 1.0225,                   1.14,                0.75515,                0.71079,                0.72772,                0.55274,                      0,                    inf,                      0,               0.070883,              0.0028832,              0.0028832
                     11,                0.68245,                0.79741,                 1.1013,                0.77377,                0.69622,                0.71345,                 0.5408,                      0,                    inf,                      0,               0.068119,              0.0031189,              0.0031189
                     12,                0.56277,                0.88539,                 1.0596,                0.78768,                0.68362,                0.71826,                0.54545,                      0,                    inf,                      0,               0.065349,              0.0033486,              0.0033486
                     13,                0.66793,                0.93707,                 1.1636,                 0.7618,                0.66274,                0.67656,                0.50653,                      0,                    inf,                      0,               0.062572,              0.0035723,              0.0035723
                     14,                0.70411,                0.88237,                 1.2049,                0.84015,                0.63263,                0.71095,                0.53345,                      0,                    inf,                      0,                0.05979,              0.0037902,              0.0037902
                     15,                0.66765,                  0.718,                 1.0557,                0.80869,                0.68603,                0.73815,                0.55819,                      0,                    inf,                      0,               0.057002,              0.0040021,              0.0040021
                     16,                0.55346,                0.66636,                 1.0083,                0.81234,                0.67441,                 0.7151,                0.53739,                      0,                    inf,                      0,               0.054208,               0.004208,               0.004208
                     17,                 0.6425,                0.72339,                 1.1078,                0.81121,                0.69446,                0.72058,                0.54197,                      0,                    inf,                      0,               0.051408,               0.004408,               0.004408
                     18,                0.57486,                0.66697,                 1.0365,                0.80291,                0.70656,                0.75493,                0.57899,                      0,                    inf,                      0,               0.048602,              0.0046021,              0.0046021
                     19,                0.58703,                0.73839,                 1.0212,                0.78831,                0.70744,                0.72105,                0.54923,                      0,                    inf,                      0,                0.04579,              0.0047902,              0.0047902
                     20,                 0.6119,                0.71946,                 1.0337,                 0.8012,                0.68466,                0.72836,                0.54463,                      0,                    inf,                      0,               0.042972,              0.0049724,              0.0049724
                     21,                 0.6175,                0.65397,                 1.1459,                0.84219,                0.68108,                 0.7399,                0.56287,                      0,                    inf,                      0,               0.040149,              0.0051487,              0.0051487
                     22,                0.61367,                0.66674,                 1.0547,                0.83518,                0.67901,                0.74293,                0.56063,                      0,                    inf,                      0,               0.037319,               0.005319,               0.005319
                     23,                0.54782,                0.57293,                0.99533,                0.85081,                0.63648,                0.73828,                0.55412,                      0,                    inf,                      0,               0.034483,              0.0054833,              0.0054833
                     24,                 0.5426,                 0.6139,                 1.0014,                0.78848,                0.65272,                0.69368,                0.51571,                      0,                    inf,                      0,               0.031642,              0.0056418,              0.0056418
                     25,                0.61297,                0.57698,                 1.0226,                0.81428,                 0.6965,                 0.7435,                0.56657,                      0,                    inf,                      0,               0.028794,              0.0057942,              0.0057942
                     26,                0.63514,                0.62594,                 1.1057,                0.81946,                0.64462,                0.69934,                  0.522,                      0,                    inf,                      0,               0.025941,              0.0059408,              0.0059408
                     27,                 0.5618,                  0.539,                 1.0237,                0.81818,                0.65396,                0.73505,                0.55202,                      0,                    inf,                      0,               0.023081,              0.0060814,              0.0060814
                     28,                0.65391,                0.56349,                 1.0456,                0.81818,                0.65396,                0.73505,                0.55202,                      0,                    inf,                      0,               0.020216,              0.0062161,              0.0062161
                     29,                0.53457,                0.55594,                 0.9868,                0.77564,                0.65668,                0.70842,                 0.5031,                      0,                    inf,                      0,               0.017345,              0.0063448,              0.0063448
                     30,                0.57867,                0.54964,                 1.0074,                0.78954,                0.64223,                0.69644,                0.49883,                      0,                    inf,                      0,               0.014468,              0.0064676,              0.0064676
                     31,                0.58053,                0.51815,                 1.0101,                0.81085,                0.61702,                0.68211,                0.47997,                      0,                    inf,                      0,               0.011584,              0.0065844,              0.0065844
                     32,                0.50983,                0.45876,                0.94221,                0.81085,                0.61702,                0.68211,                0.47997,                      0,                    inf,                      0,              0.0086954,              0.0066954,              0.0066954
                     33,                0.63247,                0.53845,                 1.0367,                0.79905,                0.66727,                0.72151,                0.51198,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     34,                0.64699,                0.62987,                  1.082,                0.85132,                0.62886,                0.71331,                0.51427,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.63105,                0.61084,                 1.0549,                0.79239,                0.59164,                0.66778,                0.45967,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.51831,                0.55855,                 1.0204,                0.79239,                0.59164,                0.66778,                0.45967,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.66957,                0.60671,                 1.1229,                0.78515,                0.61573,                0.67372,                0.46105,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.61821,                0.59815,                 1.0657,                0.77336,                0.61741,                0.68096,                0.47455,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.55467,                0.57399,                 0.9793,                0.77267,                0.57766,                0.67338,                0.47669,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.68447,                0.72765,                 1.0227,                0.77267,                0.57766,                0.67338,                0.47669,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.71891,                0.71052,                 1.0684,                0.77782,                 0.6469,                0.70605,                0.50953,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                  0.651,                0.58683,                 1.0808,                0.86801,                0.57115,                0.67709,                0.47571,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.51703,                0.46738,                 0.9934,                0.80549,                0.59177,                0.67832,                0.47589,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.64552,                0.54478,                 1.0095,                0.80549,                0.59177,                0.67832,                0.47589,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.62693,                0.55459,                 1.0249,                0.84779,                0.59053,                0.68776,                0.47567,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.56591,                 0.5548,                 1.0204,                0.77576,                0.59956,                0.66025,                0.44299,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.58875,                0.57837,                  1.008,                 0.7719,                0.64357,                0.66717,                0.46455,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.48005,                 0.4718,                0.93853,                 0.7719,                0.64357,                0.66717,                0.46455,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.60602,                0.53215,                 1.0215,                0.72623,                0.63683,                0.65339,                0.44944,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.54862,                0.47079,                0.98479,                0.75729,                0.63512,                0.66269,                0.44955,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.56715,                0.46441,                 1.0557,                 0.7589,                0.62657,                0.67269,                0.44854,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.62425,                0.64057,                 1.0735,                 0.7589,                0.62657,                0.67269,                0.44854,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.50729,                0.45682,                  1.022,                0.77113,                0.61535,                0.68093,                0.46382,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.54505,                0.47882,                 1.0157,                0.75478,                0.61549,                 0.6776,                0.46459,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 0.6083,                0.55822,                 1.0242,                0.79185,                 0.6322,                0.70459,                0.49083,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.47351,                0.47156,                 1.0036,                0.79185,                 0.6322,                0.70459,                0.49083,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.51037,                0.42948,                0.94459,                0.77864,                0.64192,                0.70924,                0.50006,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.47488,                 0.4474,                0.97471,                0.75072,                 0.6555,                0.71266,                0.49513,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.69104,                0.60001,                  1.125,                0.78559,                0.63447,                0.70696,                0.49895,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.52494,                 0.4739,                 1.0006,                0.78559,                0.63447,                0.70696,                0.49895,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.55435,                0.50909,                 1.0314,                0.79509,                  0.622,                0.69658,                0.48825,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.48427,                0.41269,                0.94687,                0.77298,                0.64721,                0.70294,                0.48858,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.53379,                0.44146,                  1.007,                0.76507,                0.66088,                0.70523,                0.48842,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.55539,                0.44615,                0.99749,                0.76507,                0.66088,                0.70523,                0.48842,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.46141,                0.39409,                0.97028,                0.77809,                0.65029,                 0.7136,                0.50805,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.46668,                0.50186,                 1.0192,                0.82643,                0.62652,                0.72185,                0.51458,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.48808,                 0.3962,                0.95821,                0.85807,                0.62931,                0.73065,                0.52161,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.62221,                0.49921,                 1.0349,                0.85807,                0.62931,                0.73065,                0.52161,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.52013,                0.45623,                 1.0334,                0.81725,                0.66523,                0.74199,                0.53209,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.47985,                0.45633,                0.96409,                0.81973,                0.66291,                0.74177,                0.53402,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.52122,                0.42329,                 1.0629,                0.80516,                0.66758,                0.73808,                0.52792,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.50462,                0.42402,                 1.0069,                0.80516,                0.66758,                0.73808,                0.52792,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.48618,                0.41321,                0.98875,                 0.8197,                0.65966,                0.73382,                0.52049,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.47922,                0.39305,                0.98139,                0.78715,                0.68639,                 0.7285,                 0.5191,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.53431,                 0.4611,                0.98236,                0.82591,                0.67957,                0.74043,                0.52571,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.50609,                0.42142,                0.96366,                0.82591,                0.67957,                0.74043,                0.52571,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.48732,                0.44926,                0.99922,                0.84567,                 0.6805,                0.74535,                0.53289,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                 0.5135,                0.42214,                0.98072,                0.84228,                0.68514,                0.75387,                0.54144,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.55476,                0.41714,                 1.0402,                 0.8393,                0.69176,                0.75917,                0.54693,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
